Athlete Name,Year,Event,Score,Created At,Updated At
"Seri Fisher","2024-2025","2026 Shiai",40,"2026-03-16T00:48:01.239145+00:00","2026-03-16T00:48:01.239145+00:00"
"Talia Fox","2025-2026","2026 Shiai",70,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Talaya Sousa","2025-2026","2026 Shiai",10,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Odin Flanagan","2025-2026","2026 Shiai",10,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Miguel Bolarinho","2025-2026","2026 Shiai",10,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Mia White","2025-2026","2026 Shiai",5,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Mateo Jones","2025-2026","2026 Shiai",0,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Khwai Mendoza","2025-2026","2026 Shiai",15,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Inara Todd","2025-2026","2026 Shiai",25,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Giovanni Vianello","2025-2026","2026 Shiai",50,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Dylan Flanagan","2025-2026","2026 Shiai",5,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Davonte Smith Richardson","2025-2026","2026 Shiai",10,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Dash Bailey","2025-2026","2026 Shiai",45,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Chancellor DeShield","2025-2026","2026 Shiai",0,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Chan Simons","2025-2026","2026 Shiai",25,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Arthur White","2025-2026","2026 Shiai",15,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Amarriah Vaughans","2025-2026","2026 Shiai",10,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Alessia Vianello","2025-2026","2026 Shiai",5,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Zoe Talbot","2025-2026","2026 Shiai",45,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Zecori Talbot","2025-2026","2026 Shiai",15,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Xela Hall","2025-2026","2026 Shiai",0,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Vincent Lightbourne","2025-2026","2026 Shiai",25,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Tobiah Goodchild","2025-2026","2026 Shiai",5,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Tony Cabral","2025-2026","2026 Shiai",70,"2026-03-15T23:12:14.356127+00:00","2026-03-15T23:12:14.356127+00:00"
"Dylan Flanagan","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Devonte Smith Richardson","2025-2026","Kazumi Karate Open 2025",10,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Demarkio White","2025-2026","Kazumi Karate Open 2025",10,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Chan Simons","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Chancellor DeShield","2025-2026","Kazumi Karate Open 2025",2,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Callahj Simons","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Alessia Vianello","2025-2026","Kazumi Karate Open 2025",10,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Andre Izaguirre","2025-2026","Kazumi Karate Open 2025",10,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Amarriah Vaughans","2025-2026","Kazumi Karate Open 2025",45,"2025-11-24T15:41:44.944123+00:00","2025-11-24T20:32:41.450671+00:00"
"Mia White","2025-2026","Kazumi Karate Open 2025",5,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Arthur White","2025-2026","Kazumi Karate Open 2025",2,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Zyorra Spencer","2025-2026","Kazumi Karate Open 2025",15,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Zoe Talbot","2025-2026","Kazumi Karate Open 2025",60,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
"Zecori Talbot","2025-2026","Kazumi Karate Open 2025",25,"2025-11-24T15:41:44.944123+00:00","2025-11-24T15:41:44.944123+00:00"
